,place_code,ItemID,address,local,category
57,STORE_YS0058,테라로사 한남점,"서울 용산구 이태원로36길 15 지하1,2층",(지번) 한남동 736-4,커피전문점
58,STORE_YS0059,한와담 한남본점,서울 용산구 독서당로 65-1 2층,(지번) 한남동 75-1,"육류,고기"
59,STORE_YS0060,트래버틴,서울 용산구 한강대로7길 18-7,(지번) 한강로3가 40-317,커피전문점
60,STORE_YS0061,오만지아,서울 용산구 유엔빌리지길 14,(지번) 한남동 274-13,이탈리안
61,STORE_YS0062,홍철책빵 (휴업중),서울 용산구 한강대로102길 57,(지번) 후암동 123-11,"제과,베이커리"
62,STORE_YS0063,한남북엇국,서울 용산구 독서당로 65-7,(지번) 한남동 73-2,한식
63,STORE_YS0064,매덕스피자,서울 용산구 이태원로26길 26 2층,(지번) 이태원동 129-9,피자
64,STORE_YS0065,벽돌해피푸드,서울 용산구 이태원로 238,(지번) 한남동 683-134,중식
65,STORE_YS0066,일일향,서울 용산구 한강대로40길 26 2층,(지번) 한강로2가 147,중화요리
66,STORE_YS0067,부엉이돈가스 남산서울타워점,서울 용산구 남산공원길 105 2층 202B호,(지번) 용산동2가 1-3,"돈까스,우동"
67,STORE_YS0068,잠수교집 본점,서울 용산구 장문로 81 1층,(지번) 보광동 217-13,"육류,고기"
68,STORE_YS0069,동아냉면 이태원점,서울 용산구 대사관로 45-1,(지번) 한남동 657-43,냉면
69,STORE_YS0070,언더야드,서울 용산구 한남대로27가길 26,(지번) 한남동 729-13,커피전문점
70,STORE_YS0071,열정도쭈꾸미,서울 용산구 백범로87길 40,(지번) 원효로1가 121-45,"해물,생선"
71,STORE_YS0072,오아시스 한남점,"서울 용산구 이태원로45길 30 1,2층",(지번) 한남동 745-10,디저트카페
72,STORE_YS0073,쉐이크쉑 용산아이파크몰점,서울 용산구 한강대로23길 55 1층,(지번) 한강로3가 40-999,햄버거
73,STORE_YS0074,노스트레스버거,서울 용산구 신흥로 62,(지번) 용산동2가 24-17,햄버거
74,STORE_YS0075,삼각지원대구탕 본점,서울 용산구 한강대로62가길 8-1 1층,(지번) 한강로1가 142-1,"매운탕,해물탕"
75,STORE_YS0076,꾸띠자르당,서울 용산구 보광로 120,(지번) 이태원동 131-23,패밀리레스토랑
76,STORE_YS0077,바다식당,서울 용산구 이태원로 245 2층,(지번) 한남동 738-24,"찌개,전골"
77,STORE_YS0078,세미계 본점,서울 용산구 대사관로 34 1층,(지번) 한남동 653-95,닭요리
78,STORE_YS0079,써머레인,서울 용산구 이태원로55가길 49 1층,(지번) 한남동 738-13,디저트카페
79,STORE_YS0080,뇨끼바,서울 용산구 한남대로20길 41-4,(지번) 한남동 31-13,이탈리안
80,STORE_YS0081,밥한끼,서울 용산구 독서당로 65-3 1층,(지번) 한남동 72-17,"돈까스,우동"
81,STORE_YS0082,로코스비비큐,서울 용산구 회나무로 83,(지번) 이태원동 2-5,양식
82,STORE_YS0083,비스테까 이태원본점,서울 용산구 회나무로 49,(지번) 이태원동 211-33,이탈리안
83,STORE_YS0084,키에리 이태원점,서울 용산구 이태원로26길 16-8 1층,(지번) 이태원동 73-7,디저트카페
84,STORE_YS0085,레호이,서울 용산구 소월로38가길 5,(지번) 이태원동 261-9,동남아음식
85,STORE_YS0086,아베크엘카페,서울 용산구 두텁바위로69길 29,(지번) 후암동 41-1,카페
86,STORE_YS0087,인바이티드,서울 용산구 한강대로52길 41,(지번) 한강로1가 221-8,카페
87,STORE_YS0088,아티장베이커스,서울 용산구 한남대로18길 26 1층,(지번) 한남동 30-3,"제과,베이커리"
88,STORE_YS0089,버터북,서울 용산구 신흥로15길 20,(지번) 용산동2가 31-2,디저트카페
89,STORE_YS0090,타르틴베이커리서울 한남점,서울 용산구 한남대로18길 22,(지번) 한남동 263-2,"제과,베이커리"
90,STORE_YS0091,조대포 남영본점,서울 용산구 한강대로 272-1 1층,(지번) 남영동 82-3,"육류,고기"
91,STORE_YS0092,한남베르그,서울 용산구 이태원로54길 58-26 1층,(지번) 한남동 683-76,카페
92,STORE_YS0093,서울루덴스,서울 용산구 회나무로 69 지하1층,(지번) 이태원동 5-12,카페
93,STORE_YS0094,플랜트 이태원,서울 용산구 보광로 117 2층,(지번) 이태원동 130-43,양식
94,STORE_YS0095,초원,서울 용산구 한강대로80길 7,(지번) 남영동 80-4,"육류,고기"
95,STORE_YS0096,카데뜨,서울 용산구 한강대로 200-1 1층,(지번) 한강로1가 14-30,디저트카페
96,STORE_YS0097,오잇,서울 용산구 신흥로 95,(지번) 용산동2가 1-471,카페
97,STORE_YS0098,해운대암소갈비집,서울 용산구 대사관로 40,(지번) 한남동 653-24,갈비
98,STORE_YS0099,자코비버거,서울 용산구 신흥로 38,(지번) 용산동2가 45-6,햄버거
99,STORE_YS0100,카키바움,서울 용산구 한강대로52길 29,(지번) 한강로1가 225-1,카페
100,STORE_YS0101,이춘복참치 본점,서울 용산구 한강대로 266-2,(지번) 남영동 85-1,참치회
101,STORE_YS0102,소이연남 한남점,서울 용산구 한남대로20길 47-10 2층,(지번) 한남동 31-5,동남아음식
102,STORE_YS0103,라구,서울 용산구 신흥로 42 1층,(지번) 용산동2가 45-4,"스테이크,립"
103,STORE_YS0104,잭슨피자 한남점,서울 용산구 독서당로 46 한남아이파크 1층 107호,(지번) 한남동 828,피자
104,STORE_YS0105,쌍대포 본점,서울 용산구 청파로 291,(지번) 청파동2가 95,"육류,고기"
105,STORE_YS0106,카사블랑카,서울 용산구 신흥로 35 1층,(지번) 용산동2가 44-7,샌드위치
