,store_code,ItemID,address,local,category
18,STORE_YS00019,한입소반,서울 용산구 청파로45길 3 1층,(지번) 청파동3가 24-50,분식
19,STORE_YS00020,바토스 이태원점,"서울 용산구 이태원로15길 1 1,2층",(지번) 이태원동 181-8,"멕시칸,브라질"
20,STORE_YS00021,오복함흥냉면,서울 용산구 한강대로84길 4,(지번) 남영동 61-3,냉면
21,STORE_YS00022,오리올,서울 용산구 신흥로20길 43,(지번) 후암동 406-99,카페
22,STORE_YS00023,효뜨,"서울 용산구 한강대로40가길 6 1,2층",(지번) 한강로2가 73-3,베트남음식
23,STORE_YS00024,명동교자 이태원점,서울 용산구 녹사평대로 136,(지번) 이태원동 34-149,국수
24,STORE_YS00025,빠레뜨한남,서울 용산구 이태원로54길 53 1층,(지번) 한남동 684-7,이탈리안
25,STORE_YS00026,잠수교집 2호점,서울 용산구 신흥로 37,(지번) 용산동2가 39-17,삼겹살
26,STORE_YS00027,부자피자 1호점,서울 용산구 이태원로55가길 28,(지번) 한남동 743-33,피자
27,STORE_YS00028,앤트러사이트 한남점,서울 용산구 이태원로 240 1~3층,(지번) 한남동 683-142,카페
28,STORE_YS00029,챔프커피 2작업실,서울 용산구 녹사평대로26가길 24 1층,(지번) 이태원동 79-44,커피전문점
29,STORE_YS00030,더베이커스테이블,서울 용산구 녹사평대로 244-1 1층,(지번) 이태원동 691,"제과,베이커리"
30,STORE_YS00031,무니,서울 용산구 신흥로20길 37 1층,(지번) 후암동 406-58,카페
31,STORE_YS00032,미니마이즈,서울 용산구 독서당로 65-1 지하 1층,(지번) 한남동 75-1,"제과,베이커리"
32,STORE_YS00033,강가네맷돌빈대떡,서울 용산구 대사관로24길 27,(지번) 한남동 641-9,"호프,요리주점"
33,STORE_YS00034,동빙고,서울 용산구 이촌로 319,(지번) 이촌동 301-162,카페
34,STORE_YS00035,오근내2닭구이,서울 용산구 한강대로11길 13,(지번) 한강로3가 40-9,닭요리
35,STORE_YS00036,라쿠치나,서울 용산구 회나무로44길 10,(지번) 이태원동 258-7,이탈리안
36,STORE_YS00037,24시뼈다귀감자탕,서울 용산구 대사관로 73 1층,(지번) 한남동 634-1,감자탕
37,STORE_YS00038,쥬에,서울 용산구 독서당로 124-7,(지번) 한남동 3-1,퓨전중식
