,store_code,ItemID,address,local,category
56,STORE_JRO00057,혜화칼국수,서울 종로구 창경궁로35길 13,(지번) 혜화동 84-3,국수
57,STORE_JRO00058,레이어드,서울 종로구 북촌로2길 2-3,(지번) 재동 84-14,카페
58,STORE_JRO00059,포비브라이트 광화문점,서울 종로구 새문안로 76,(지번) 신문로1가 115,카페
59,STORE_JRO00060,개뿔,서울 종로구 낙산성곽서1길 26 1~2층,(지번) 이화동 9-443,갤러리카페
60,STORE_JRO00061,나무사이로,서울 종로구 사직로8길 21,(지번) 내자동 196,커피전문점
61,STORE_JRO00062,우육면관 청계천점,서울 종로구 청계천로 75-2,(지번) 관철동 11-11,중식
62,STORE_JRO00063,창신동매운족발 본점,서울 종로구 종로51길 23,(지번) 창신동 581-5,"족발,보쌈"
63,STORE_JRO00064,혜화도담,서울 종로구 대명1길 16-6 1층,(지번) 명륜4가 48-2,한식
64,STORE_JRO00065,올모스트홈카페 아트선재센터점,서울 종로구 소격동 144-2,,카페
65,STORE_JRO00066,광화문한옥집,서울 종로구 새문안로5가길 7 세종클럽 지하 1층,(지번) 내수동 1,한식
66,STORE_JRO00067,갓덴스시 종로점,서울 종로구 종로12길 14,(지번) 관철동 19-1,"초밥,롤"
67,STORE_JRO00068,낙산냉면,"서울 종로구 지봉로5길 8 1,2층",(지번) 창신동 81-8,냉면
68,STORE_JRO00069,학림다방,서울 종로구 대학로 119 2층,(지번) 명륜4가 94-2,다방
69,STORE_JRO00070,잘빠진메밀 2호점,서울 종로구 율곡로8길 73 1층,(지번) 묘동 3-1,국수
70,STORE_JRO00071,도마 인사점,서울 종로구 인사동8길 6-1,(지번) 관훈동 15-1,한식
71,STORE_JRO00072,순대실록 대학로본점,서울 종로구 동숭길 127 우성빌딩 2층,(지번) 동숭동 1-41,순대
72,STORE_JRO00073,르블란서,서울 종로구 수표로28길 30,(지번) 돈의동 26,양식
73,STORE_JRO00074,수와래,서울 종로구 삼청로 82 2층,(지번) 삼청동 35-116,이탈리안
74,STORE_JRO00075,부빙,서울 종로구 창의문로 136,(지번) 부암동 254-2,카페
75,STORE_JRO00076,대련집,서울 종로구 종로16길 37,(지번) 관수동 163,국수
76,STORE_JRO00077,카페아르크,서울 종로구 인왕산로 3 위쿡 1층,(지번) 사직동 262-4,카페
77,STORE_JRO00078,북악정,서울 종로구 평창36길 6,(지번) 평창동 114-12,갈비
78,STORE_JRO00079,체부동잔치집,서울 종로구 자하문로1길 16 1층,(지번) 체부동 190,국수
79,STORE_JRO00080,몽중헌 안국점,서울 종로구 북촌로 31-22,(지번) 화동 117,중화요리
80,STORE_JRO00081,고가빈커리하우스,서울 종로구 경희궁2길 7 3층,(지번) 내수동 110-48,인도음식
81,STORE_JRO00082,평원숯불갈비,서울 종로구 종로39길 29,(지번) 효제동 174-6,갈비
82,STORE_JRO00083,교대이층집 광화문점,서울 종로구 삼봉로 95 대성스카이렉스오피스텔 102동 1층,(지번) 견지동 110,삼겹살
83,STORE_JRO00084,양반댁,서울 종로구 인사동길 19-18,(지번) 인사동 193-5,한정식
84,STORE_JRO00085,이경문순대곱창,서울 종로구 돈화문로11나길 5,(지번) 돈의동 11-1,순대
85,STORE_JRO00086,H라운지,서울 종로구 자하문로4길 21-9,(지번) 통의동 35-21,카페
86,STORE_JRO00087,인왕산 대충유원지,서울 종로구 필운대로 46 무목적빌딩 4층,(지번) 누하동 22,카페
87,STORE_JRO00088,서린낙지,서울 종로구 종로 19 르메이에르 종로타운 2층,(지번) 청진동 146,"해물,생선"
88,STORE_JRO00089,안주마을,서울 종로구 자하문로1길 3,(지번) 내자동 1-2,"호프,요리주점"
89,STORE_JRO00090,암소서울,서울 종로구 새문안로 76 지하1층,(지번) 신문로1가 115,한식
90,STORE_JRO00091,힐사이드테이블,서울 종로구 경희궁2길 7 1층,(지번) 내수동 110-48,양식
91,STORE_JRO00092,서울서 둘째로잘하는집,서울 종로구 삼청로 122-1,(지번) 삼청동 28-21,죽
